Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						137.
					","

								Ja Morant							
","
							$9,603,360						","
							$12,119,440						","
							$15,815,869						","
							$0						","
							$0						","
							$0						"
"
						138.
					","

								Reggie Bullock							
","
							$9,536,000						","
							$10,012,800						","
							$10,489,600						","
							$0						","
							$0						","
							$0						"
"
						138.
					","

								Alec Burks							
","
							$9,536,000						","
							$10,012,800						","
							$10,489,600						","
							$0						","
							$0						","
							$0						"
"
						140.
					","

								Talen Horton-Tucker							
","
							$9,500,000						","
							$10,260,000						","
							$11,020,000						","
							$0						","
							$0						","
							$0						"
"
						141.
					","

								Mason Plumlee							
","
							$9,248,333						","
							$9,080,417						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						142.
					","

								Jaren Jackson Jr							
","
							$9,180,560						","
							$28,946,605						","
							$27,102,202						","
							$25,257,798						","
							$23,413,395						","
							$0						"
"
						143.
					","

								James Wiseman							
","
							$9,166,800						","
							$9,603,360						","
							$12,119,440						","
							$15,815,870						","
							$0						","
							$0						"
"
						144.
					","

								Jalen Green							
","
							$8,992,080						","
							$9,441,840						","
							$9,891,480						","
							$12,483,048						","
							$16,290,377						","
							$0						"
"
						145.
					","

								Maxi Kleber							
","
							$8,825,000						","
							$9,075,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						146.
					","

								De'Anthony Melton							
","
							$8,805,976						","
							$8,250,000						","
							$8,000,000						","
							$0						","
							$0						","
							$0						"
"
						147.
					","

								Nerlens Noel							
","
							$8,800,000						","
							$9,240,000						","
							$9,680,000						","
							$0						","
							$0						","
							$0						"
"
						147.
					","

								Royce O'Neale							
","
							$8,800,000						","
							$9,200,000						","
							$9,500,000						","
							$0						","
							$0						","
							$0						"
"
						149.
					","

								Jakob Poeltl							
","
							$8,750,000						","
							$9,398,148						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						150.
					","

								Thomas Bryant							
","
							$8,666,667						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						151.
					","

								RJ Barrett							
","
							$8,623,920						","
							$10,900,634						","
							$14,301,632						","
							$0						","
							$0						","
							$0						"
"
						152.
					","

								Alex Caruso							
","
							$8,600,000						","
							$9,030,000						","
							$9,460,000						","
							$9,890,000						","
							$0						","
							$0						"
"
						153.
					","

								Delon Wright							
","
							$8,526,316						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						154.
					","

								Dario Saric							
","
							$8,510,000						","
							$9,240,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						155.
					","

								Monte Morris							
","
							$8,449,074						","
							$9,125,000						","
							$9,800,926						","
							$0						","
							$0						","
							$0						"
"
						156.
					","

								Tyus Jones							
","
							$8,376,286						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						157.
					","

								Trae Young							
","
							$8,326,471						","
							$29,750,000						","
							$32,130,000						","
							$34,510,000						","
							$36,890,000						","
							$39,270,000						"
"
						158.
					","

								Daniel Theis							
","
							$8,280,351						","
							$8,694,369						","
							$9,108,386						","
							$9,522,404						","
							$0						","
							$0						"
"
						159.
					","

								LaMelo Ball							
","
							$8,231,760						","
							$8,623,920						","
							$10,900,635						","
							$14,301,633						","
							$0						","
							$0						"
"
						160.
					","

								Seth Curry							
","
							$8,207,518						","
							$8,496,653						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						161.
					","

								JaMychal Green							
","
							$8,200,000						","
							$8,200,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						162.
					","

								Cedi Osman							
","
							$8,133,334						","
							$7,426,088						","
							$6,718,842						","
							$0						","
							$0						","
							$0						"
"
						163.
					","

								Evan Mobley							
","
							$8,075,160						","
							$8,478,720						","
							$8,882,640						","
							$11,227,657						","
							$14,730,686						","
							$0						"
"
						164.
					","

								De'Andre Hunter							
","
							$7,775,400						","
							$9,835,881						","
							$12,973,527						","
							$0						","
							$0						","
							$0						"
"
						165.
					","

								Mo Bamba							
","
							$7,568,743						","
							$10,096,703						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						166.
					","

								Ivica Zubac							
","
							$7,518,518						","
							$7,518,518						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						167.
					","

								TJ McConnell							
","
							$7,500,000						","
							$8,100,000						","
							$8,700,000						","
							$9,300,000						","
							$0						","
							$0						"
"
						167.
					","

								Rajon Rondo							
","
							$7,500,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						169.
					","

								Patrick Williams							
","
							$7,422,000						","
							$7,775,400						","
							$9,835,881						","
							$12,973,527						","
							$0						","
							$0						"
"
						170.
					","

								Cory Joseph							
","
							$7,310,000						","
							$5,155,500						","
							$0						","
							$0						","
							$0						","
							$0						"
