Player,2008-2009
,Player,"
							2008/09						","
							2008/09(*)						"
"
						262.
					","

								Tyronn Lue							
","
							$2,250,000						","
							$2,650,838						"
"
						263.
					","

								DJ Augustin							
","
							$2,208,960						","
							$2,602,487						"
"
						264.
					","

								Spencer Hawes							
","
							$2,180,760						","
							$2,569,263						"
"
						265.
					","

								JJ Redick							
","
							$2,139,720						","
							$2,520,912						"
"
						266.
					","

								Hakim Warrick							
","
							$2,119,102						","
							$2,496,621						"
"
						267.
					","

								Brook Lopez							
","
							$2,098,560						","
							$2,472,419						"
"
						268.
					","

								Jarron Collins							
","
							$2,074,302						","
							$2,443,839						"
"
						269.
					","

								Acie Law							
","
							$2,071,680						","
							$2,440,750						"
"
						270.
					","

								Hilton Armstrong							
","
							$2,032,800						","
							$2,394,944						"
"
						271.
					","

								Nate Robinson							
","
							$2,020,179						","
							$2,380,074						"
"
						272.
					","

								Jarrett Jack							
","
							$2,002,623						","
							$2,359,391						"
"
						273.
					","

								Walter Herrmann							
","
							$2,000,000						","
							$2,356,300						"
"
						273.
					","

								Eddie Jones							
","
							$2,000,000						","
							$2,356,300						"
"
						273.
					","

								Brevin Knight							
","
							$2,000,000						","
							$2,356,300						"
"
						276.
					","

								Jerryd Bayless							
","
							$1,993,560						","
							$2,348,713						"
"
						277.
					","

								Francisco Garcia							
","
							$1,983,454						","
							$2,336,807						"
"
						278.
					","

								Grant Hill							
","
							$1,976,400						","
							$2,328,496						"
"
						279.
					","

								Thaddeus Young							
","
							$1,968,120						","
							$2,318,741						"
"
						280.
					","

								Luther Head							
","
							$1,962,378						","
							$2,311,976						"
"
						281.
					","

								Johan Petro							
","
							$1,939,893						","
							$2,285,485						"
"
						282.
					","

								Thabo Sefolosha							
","
							$1,931,160						","
							$2,275,197						"
"
						283.
					","

								Jarvis Hayes							
","
							$1,910,000						","
							$2,250,267						"
"
						283.
					","

								Brent Barry							
","
							$1,910,000						","
							$2,250,267						"
"
						283.
					","

								Anthony Johnson							
","
							$1,910,000						","
							$2,250,267						"
"
						286.
					","

								Jason Thompson							
","
							$1,893,840						","
							$2,231,228						"
"
						287.
					","

								Jason Maxiell							
","
							$1,877,572						","
							$2,212,062						"
"
						288.
					","

								Julian Wright							
","
							$1,869,600						","
							$2,202,670						"
"
						289.
					","

								Ronnie Brewer							
","
							$1,834,680						","
							$2,161,529						"
"
						290.
					","

								Linas Kleiza							
","
							$1,824,493						","
							$2,149,527						"
"
						291.
					","

								Antoine Wright							
","
							$1,800,000						","
							$2,120,670						"
"
						292.
					","

								Brandon Rush							
","
							$1,799,160						","
							$2,119,681						"
"
						293.
					","

								David Lee							
","
							$1,788,033						","
							$2,106,571						"
"
						294.
					","

								Al Thornton							
","
							$1,776,240						","
							$2,092,678						"
"
						295.
					","

								Chuck Hayes							
","
							$1,768,000						","
							$2,082,970						"
"
						296.
					","

								Cedric Simmons							
","
							$1,742,760						","
							$2,053,233						"
"
						297.
					","

								Adrian Griffin							
","
							$1,711,000						","
							$2,015,815						"
"
						298.
					","

								Anthony Randolph							
","
							$1,709,280						","
							$2,013,789						"
"
						299.
					","

								Francisco Elson							
","
							$1,700,000						","
							$2,002,855						"
"
						299.
					","

								Goran Dragic							
","
							$1,700,000						","
							$2,002,855						"
"
						301.
					","

								Rodney Stuckey							
","
							$1,687,320						","
							$1,987,916						"
"
						302.
					","

								Smush Parker							
","
							$1,660,000						","
							$1,955,729						"
"
						303.
					","

								Rodney Carney							
","
							$1,655,760						","
							$1,950,734						"
"
						304.
					","

								Robin Lopez							
","
							$1,623,720						","
							$1,912,986						"
"
						305.
					","

								Travis Diener							
","
							$1,620,000						","
							$1,908,603						"
"
						306.
					","

								Nick Young							
","
							$1,602,960						","
							$1,888,528						"
"
						307.
					","

								Devean George							
","
							$1,600,000						","
							$1,885,040						"
"
						308.
					","

								Justin Reed							
","
							$1,573,000						","
							$1,853,230						"
"
						309.
					","

								Shawne Williams							
","
							$1,572,960						","
							$1,853,183						"
"
						310.
					","

								Hamed Haddadi							
","
							$1,572,221						","
							$1,852,312						"
"
						311.
					","

								Marreese Speights							
","
							$1,542,600						","
							$1,817,414						"
"
						312.
					","

								Sean Williams							
","
							$1,522,920						","
							$1,794,228						"
"
						313.
					","

								Ronald Murray							
","
							$1,500,000						","
							$1,767,225						"
"
						313.
					","

								Jose Juan Barea							
","
							$1,500,000						","
							$1,767,225						"
"
						313.
					","

								Patrick O'Bryant							
","
							$1,500,000						","
							$1,767,225						"
"
						316.
					","

								Roy Hibbert							
","
							$1,465,400						","
							$1,726,461						"
"
						317.
					","

								Marco Belinelli							
","
							$1,446,720						","
							$1,704,453						"
"
						317.
					","

								Oleksiy Pecherov							
","
							$1,446,720						","
							$1,704,453						"
"
						319.
					","

								Quincy Douby							
","
							$1,427,040						","
							$1,681,267						"
"
						320.
					","

								JaVale McGee							
","
							$1,392,240						","
							$1,640,268						"
"
						321.
					","

								Javaris Crittenton							
","
							$1,381,560						","
							$1,627,685						"
"
						322.
					","

								Renaldo Balkman							
","
							$1,369,920						","
							$1,613,971						"
"
						323.
					","

								JJ Hickson							
","
							$1,329,480						","
							$1,566,327						"
"
						324.
					","

								Jason Smith							
","
							$1,326,360						","
							$1,562,651						"
"
						325.
					","

								Calvin Booth							
","
							$1,319,651						","
							$1,554,747						"
"
						326.
					","

								Rajon Rondo							
","
							$1,315,080						","
							$1,549,362						"
"
						327.
					","

								Malik Allen							
","
							$1,300,000						","
							$1,531,595						"
"
						328.
					","

								Alexis Ajinca							
","
							$1,276,320						","
							$1,503,697						"
"
						329.
					","

								Daequan Cook							
","
							$1,273,200						","
							$1,500,021						"
"
						330.
					","

								Marcus Williams							
","
							$1,262,520						","
							$1,487,438						"
"
						331.
					","

								Lorenzen Wright							
","
							$1,262,275						","
							$1,487,149						"
"
						331.
					","

								Brian Skinner							
","
							$1,262,275						","
							$1,487,149						"
"
						331.
					","

								Jason Williams							
","
							$1,262,275						","
							$1,487,149						"
"
						331.
					","

								Kevin Ollie							
","
							$1,262,275						","
							$1,487,149						"
